Date_Time,DirectionTravelTime (min),Free_Flow
5/17/11 17:34,76,72.5 minutes
5/17/11 17:34,76,
5/17/11 18:03,76,
5/17/11 20:16,78,
5/17/11 20:28,78,
5/17/11 20:40,78,
5/17/11 20:52,77,
5/17/11 21:04,78,
5/17/11 21:16,77,
5/17/11 21:28,78,
5/17/11 21:40,79,
5/17/11 21:52,77,
5/17/11 22:04,79,
5/17/11 22:16,78,
5/17/11 22:28,78,
5/17/11 22:40,77,
5/17/11 22:52,77,
5/17/11 23:04,77,
5/17/11 23:16,78,
5/17/11 23:28,78,
5/17/11 23:40,78,
5/17/11 23:52,76,
5/18/11 0:04,75,
5/18/11 0:16,75,
5/18/11 0:28,75,
5/18/11 0:40,77,
5/18/11 0:52,77,
5/18/11 1:04,77,
5/18/11 1:16,80,
5/18/11 1:28,78,
5/18/11 1:40,79,
5/18/11 1:52,79,
5/18/11 2:04,77,
5/18/11 2:16,79,
5/18/11 2:28,77,
5/18/11 2:40,78,
5/18/11 2:52,78,
5/18/11 3:04,79,
5/18/11 3:16,79,
5/18/11 3:28,78,
5/18/11 3:40,79,
5/18/11 3:52,79,
5/18/11 4:04,77,
5/18/11 4:16,77,
5/18/11 4:28,77,
5/18/11 4:40,78,
5/18/11 4:52,81,
5/18/11 5:04,77,
5/18/11 5:16,78,
5/18/11 5:28,78,
5/18/11 5:40,79,
5/18/11 5:52,75,
5/18/11 6:04,79,
5/18/11 6:16,78,
5/18/11 6:28,78,
5/18/11 6:40,79,
5/18/11 6:52,78,
5/18/11 7:04,78,
5/18/11 7:16,76,
5/18/11 7:28,77,
5/18/11 7:40,76,
5/18/11 7:52,77,
5/18/11 8:04,76,
5/18/11 8:16,78,
5/18/11 8:28,80,
5/18/11 8:40,78,
5/18/11 8:52,79,
5/18/11 9:04,79,
5/18/11 9:17,79,
5/18/11 9:28,78,
5/18/11 9:40,79,
5/18/11 9:52,77,
5/18/11 10:00,79,
5/18/11 10:06,79,
5/18/11 10:12,79,
5/18/11 10:18,79,
5/18/11 10:24,79,
5/18/11 10:30,79,
5/18/11 10:36,78,
5/18/11 10:42,78,
5/18/11 10:48,78,
5/18/11 10:54,78,
5/18/11 11:00,79,
5/18/11 11:06,79,
5/18/11 11:12,78,
5/18/11 11:18,78,
5/18/11 11:24,79,
5/18/11 11:30,78,
